schema_version,question_id,qa_pair_id,question_ordinal,hop_index,gold_hop_count,gold_statement,gold_raw_fact,gold_serial_number,acquired_by_read,first_read_action_state,first_available_decision_state,matching_read_memory_ids,official_gold_lww_conflicted
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,factconsolidation_mh_262k_no77,77,4,4,The capital of Germany is Berlin,5157. The capital of Germany is Berlin.,5157,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,factconsolidation_mh_262k_no78,78,1,2,Eric Weissberg is a citizen of United Kingdom,17430. Eric Weissberg is a citizen of United Kingdom.,17430,True,2,3,"[""m-098e8f358b290e8ba2babe14""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,factconsolidation_mh_262k_no78,78,2,2,The official language of United Kingdom is Finnish,6089. The official language of United Kingdom is Finnish.,6089,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,factconsolidation_mh_262k_no79,79,1,2,The univeristy where Tom Selleck was educated is Academy of Fine Arts Vienna,15922. The univeristy where Tom Selleck was educated is Academy of Fine Arts Vienna.,15922,True,3,4,"[""m-0b1df58bb07f6d7652d8dfb1""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no79,factconsolidation_mh_262k_no79,79,2,2,The headquarters of Academy of Fine Arts Vienna is located in the city of Vienna,2322. The headquarters of Academy of Fine Arts Vienna is located in the city of Vienna.,2322,True,3,4,"[""m-a0156ee0ec6cb0be09a290e7""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,factconsolidation_mh_262k_no80,80,1,2,Mario Puzo is famous for Billy Elliot the Musical,17575. Mario Puzo is famous for Billy Elliot the Musical.,17575,True,2,3,"[""m-098e8f358b290e8ba2babe14""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no80,factconsolidation_mh_262k_no80,80,2,2,Billy Elliot the Musical was written in the language of American English,15876. Billy Elliot the Musical was written in the language of American English.,15876,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,factconsolidation_mh_262k_no81,81,1,2,Teenage Fanclub was created in the country of Italy,18252. Teenage Fanclub was created in the country of Italy.,18252,True,2,3,"[""m-e8c89d3ba3aa543273171efa""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no81,factconsolidation_mh_262k_no81,81,2,2,Italy is located in the continent of Oceania,15152. Italy is located in the continent of Oceania.,15152,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,factconsolidation_mh_262k_no82,82,1,3,Edward Mooney is affiliated with the religion of Christian Science,16369. Edward Mooney is affiliated with the religion of Christian Science.,16369,True,3,4,"[""m-e88cdf413fbf8a7ac37bd0fb""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,factconsolidation_mh_262k_no82,82,2,3,Christian Science was founded by Ibn Saud,11909. Christian Science was founded by Ibn Saud.,11909,True,3,4,"[""m-32937397b194ea97822b7885""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no82,factconsolidation_mh_262k_no82,82,3,3,Ibn Saud worked in the city of Riyadh Region,5988. Ibn Saud worked in the city of Riyadh Region.,5988,True,5,6,"[""m-6fd0269b08ed390fee96395f""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,factconsolidation_mh_262k_no83,83,1,2,Lalu Prasad Yadav is married to Goldust,14252. Lalu Prasad Yadav is married to Goldust.,14252,True,2,3,"[""m-1013038271bffdb5b4d7d9a5""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,factconsolidation_mh_262k_no83,83,2,2,Goldust works in the field of singer,2458. Goldust works in the field of singer.,2458,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,factconsolidation_mh_262k_no84,84,1,4,Enrico Villanueva plays the position of closer,8364. Enrico Villanueva plays the position of closer.,8364,True,2,3,"[""m-aff4df280c82222c41cd9dbd""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,factconsolidation_mh_262k_no84,84,2,4,closer is associated with the sport of baseball,3281. closer is associated with the sport of baseball.,3281,True,4,5,"[""m-22130c7cb447261eda31ef6b""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,factconsolidation_mh_262k_no84,84,3,4,baseball was created in the country of Japan,14700. baseball was created in the country of Japan.,14700,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,factconsolidation_mh_262k_no84,84,4,4,The capital of Japan is Bondi Junction,2279. The capital of Japan is Bondi Junction.,2279,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,factconsolidation_mh_262k_no85,85,1,2,The author of Julius Caesar is Aristotle,11230. The author of Julius Caesar is Aristotle.,11230,True,3,4,"[""m-323e3517faf8135a089224ca""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,factconsolidation_mh_262k_no85,85,2,2,Aristotle works in the field of philosopher,3844. Aristotle works in the field of philosopher.,3844,True,3,4,"[""m-154bcacb92d86a5c9d325b00""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,factconsolidation_mh_262k_no86,86,1,2,Benigno Aquino Jr. is married to Corazon Aquino,13598. Benigno Aquino Jr. is married to Corazon Aquino.,13598,True,2,3,"[""m-de83a0d2e0630ddb97f1fe54""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,factconsolidation_mh_262k_no86,86,2,2,Corazon Aquino is affiliated with the religion of Methodism,12137. Corazon Aquino is affiliated with the religion of Methodism.,12137,True,2,3,"[""m-32937397b194ea97822b7885""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,factconsolidation_mh_262k_no87,87,1,3,WWE Tough Enough was created by William Shakespeare,17835. WWE Tough Enough was created by William Shakespeare.,17835,True,4,5,"[""m-0f10fff25f4f2295def856b4""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,factconsolidation_mh_262k_no87,87,2,3,William Shakespeare is married to Philip IV of France,15399. William Shakespeare is married to Philip IV of France.,15399,True,4,5,"[""m-25705ac9d5e8865bd0ef9821""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,factconsolidation_mh_262k_no87,87,3,3,Philip IV of France is a citizen of Ireland,13376. Philip IV of France is a citizen of Ireland.,13376,True,4,5,"[""m-8ea23f7d97db2ab60eec5ae4""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,factconsolidation_mh_262k_no88,88,1,2,Outsourced was created in the country of Turkey,17728. Outsourced was created in the country of Turkey.,17728,True,3,4,"[""m-0f10fff25f4f2295def856b4""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,factconsolidation_mh_262k_no88,88,2,2,The name of the current head of state in Turkey is Recep Tayyip Erdoğan,7550. The name of the current head of state in Turkey is Recep Tayyip Erdoğan.,7550,True,3,4,"[""m-e83f38f2c761aa5a2f5c0f21""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,factconsolidation_mh_262k_no89,89,1,2,The origianl broadcaster of NBA on ABC is British Broadcasting Corporation,13862. The origianl broadcaster of NBA on ABC is British Broadcasting Corporation.,13862,True,4,5,"[""m-621e3928a351e7bbd9e11337""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,factconsolidation_mh_262k_no89,89,2,2,The headquarters of British Broadcasting Corporation is located in the city of Red Bank,8346. The headquarters of British Broadcasting Corporation is located in the city of Red Bank.,8346,True,6,7,"[""m-aff4df280c82222c41cd9dbd""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,factconsolidation_mh_262k_no90,90,1,2,Dzhokhar Dudayev is affiliated with the religion of Catholic Church,10822. Dzhokhar Dudayev is affiliated with the religion of Catholic Church.,10822,True,3,4,"[""m-d378741b166342a8e5a0aca8""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,factconsolidation_mh_262k_no90,90,2,2,Catholic Church was founded by Gérard Blitz,15083. Catholic Church was founded by Gérard Blitz.,15083,True,3,4,"[""m-edc48416279cf33fce68c421""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,factconsolidation_mh_262k_no91,91,1,3,Brad Stevens is associated with the sport of basketball,8229. Brad Stevens is associated with the sport of basketball.,8229,True,2,3,"[""m-7c5d78490bb6e83cf8439922""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,factconsolidation_mh_262k_no91,91,2,3,basketball was created in the country of Soviet Union,12608. basketball was created in the country of Soviet Union.,12608,True,4,5,"[""m-b4f7617ddfde634fb0ac7372""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,factconsolidation_mh_262k_no91,91,3,3,The name of the current head of state in Soviet Union is Mikhail Gorbachev,13661. The name of the current head of state in Soviet Union is Mikhail Gorbachev.,13661,True,6,7,"[""m-de83a0d2e0630ddb97f1fe54""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,factconsolidation_mh_262k_no92,92,1,3,1985 NBA Draft is associated with the sport of association football,12731. 1985 NBA Draft is associated with the sport of association football.,12731,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,factconsolidation_mh_262k_no92,92,2,3,association football was created in the country of Italy,11954. association football was created in the country of Italy.,11954,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,factconsolidation_mh_262k_no92,92,3,3,The name of the current head of the Italy government is Lili Bosse,13774. The name of the current head of the Italy government is Lili Bosse.,13774,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,factconsolidation_mh_262k_no93,93,1,4,Ricky Rubio plays the position of defender,8288. Ricky Rubio plays the position of defender.,8288,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,factconsolidation_mh_262k_no93,93,2,4,defender is associated with the sport of baseball,11894. defender is associated with the sport of baseball.,11894,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,factconsolidation_mh_262k_no93,93,3,4,baseball was created in the country of Japan,14700. baseball was created in the country of Japan.,14700,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,factconsolidation_mh_262k_no93,93,4,4,The capital of Japan is Bondi Junction,2279. The capital of Japan is Bondi Junction.,2279,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,factconsolidation_mh_262k_no94,94,1,2,Flogging Molly was created in the country of Germany,10389. Flogging Molly was created in the country of Germany.,10389,True,3,4,"[""m-8a1ac4543999c1eeeb063bdd""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,factconsolidation_mh_262k_no94,94,2,2,The official language of Germany is English,15405. The official language of Germany is English.,15405,True,3,4,"[""m-25705ac9d5e8865bd0ef9821""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,factconsolidation_mh_262k_no95,95,1,2,Link was created by Shigeru Miyamoto,4947. Link was created by Shigeru Miyamoto.,4947,True,2,3,"[""m-65ddf9819a5ecf5e4656074f""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,factconsolidation_mh_262k_no95,95,2,2,Shigeru Miyamoto is employed by University of Oxford,9006. Shigeru Miyamoto is employed by University of Oxford.,9006,True,10,11,"[""m-27a012671d73f03a3fd6b638""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,factconsolidation_mh_262k_no96,96,1,3,Dave Dombrowski is employed by Detroit Tigers,10023. Dave Dombrowski is employed by Detroit Tigers.,10023,True,2,3,"[""m-1d5745d8b432a6047b4dd936""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,factconsolidation_mh_262k_no96,96,2,3,Detroit Tigers is associated with the sport of cricket,15317. Detroit Tigers is associated with the sport of cricket.,15317,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,factconsolidation_mh_262k_no96,96,3,3,cricket was created in the country of Australia,16113. cricket was created in the country of Australia.,16113,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,factconsolidation_mh_262k_no97,97,1,2,Bobby Hurley plays the position of midfielder,8861. Bobby Hurley plays the position of midfielder.,8861,True,2,3,"[""m-28069cede24e19a36554223e""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,factconsolidation_mh_262k_no97,97,2,2,midfielder is associated with the sport of sumo,17570. midfielder is associated with the sport of sumo.,17570,True,4,5,"[""m-098e8f358b290e8ba2babe14""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,factconsolidation_mh_262k_no98,98,1,3,Jacqueline Kennedy Onassis is affiliated with the religion of Church of Scotland,17797. Jacqueline Kennedy Onassis is affiliated with the religion of Church of Scotland.,17797,True,3,4,"[""m-0f10fff25f4f2295def856b4""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,factconsolidation_mh_262k_no98,98,2,3,Church of Scotland was founded by John Knox,9687. Church of Scotland was founded by John Knox.,9687,True,3,4,"[""m-8988c2999d80d11c33dcaf06""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,factconsolidation_mh_262k_no98,98,3,3,John Knox worked in the city of Edinburgh,4329. John Knox worked in the city of Edinburgh.,4329,True,12,13,"[""m-fe91a1e8a803d8f45780f318""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,factconsolidation_mh_262k_no99,99,1,3,Ferdinando I de' Medici is affiliated with the religion of Methodism,11090. Ferdinando I de' Medici is affiliated with the religion of Methodism.,11090,True,3,4,"[""m-323e3517faf8135a089224ca""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,factconsolidation_mh_262k_no99,99,2,3,Methodism was founded by John Wesley,6850. Methodism was founded by John Wesley.,6850,True,3,4,"[""m-971985574eb04740c13ad5c1""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,factconsolidation_mh_262k_no99,99,3,3,John Wesley was born in the city of Epworth,2049. John Wesley was born in the city of Epworth.,2049,False,,,[],True
